2025-06-27 18:02:19,932 INFO    MainThread:2204506 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-06-27 18:02:19,933 INFO    MainThread:2204506 [wandb_setup.py:_flush():70] Configure stats pid to 2204506
2025-06-27 18:02:19,933 INFO    MainThread:2204506 [wandb_setup.py:_flush():70] Loading settings from /home/dyw/.config/wandb/settings
2025-06-27 18:02:19,933 INFO    MainThread:2204506 [wandb_setup.py:_flush():70] Loading settings from /home/dyw/reinforcement_learning/random-network-distillation-pytorch-master/wandb/settings
2025-06-27 18:02:19,933 INFO    MainThread:2204506 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-06-27 18:02:19,933 INFO    MainThread:2204506 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/dyw/reinforcement_learning/random-network-distillation-pytorch-master/wandb/run-20250627_180219-bndbo5b6/logs/debug.log
2025-06-27 18:02:19,933 INFO    MainThread:2204506 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/dyw/reinforcement_learning/random-network-distillation-pytorch-master/wandb/run-20250627_180219-bndbo5b6/logs/debug-internal.log
2025-06-27 18:02:19,933 INFO    MainThread:2204506 [wandb_init.py:init():852] calling init triggers
2025-06-27 18:02:19,933 INFO    MainThread:2204506 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_dict': <class 'dict'>, '_sections': {'OPTIONS': {'envtype': '[atari]'}}, '_defaults': {'trainmethod': 'RND', 'envtype': 'atari', 'envid': 'MontezumaRevengeNoFrameskip-v4', 'maxstepperepisode': '4500', 'extcoef': '2.', 'learningrate': '1e-4', 'numenv': '128', 'numstep': '128', 'gamma': '0.999', 'intgamma': '0.99', 'lambda': '0.95', 'stableeps': '1e-8', 'statestacksize': '4', 'preprocheight': '84', 'proprocwidth': '84', 'usegae': 'True', 'usegpu': 'True', 'usenorm': 'False', 'usenoisynet': 'False', 'clipgradnorm': '0.5', 'entropy': '0.001', 'epoch': '4', 'minibatch': '4', 'ppoeps': '0.1', 'intcoef': '1.', 'stickyaction': 'True', 'actionprob': '0.25', 'updateproportion': '0.25', 'lifedone': 'False', 'obsnormstep': '50'}, '_converters': <configparser.ConverterMapping object at 0x7f36cb0f7140>, '_proxies': {'DEFAULT': <Section: DEFAULT>, 'OPTIONS': <Section: OPTIONS>}, '_delimiters': ('=', ':'), '_optcre': re.compile('\n        (?P<option>.*?)                    # very permissive!\n        \\s*(?P<vi>=|:)\\s*              # any number of space/tab,\n                                           # followed by any of t, re.VERBOSE), '_comment_prefixes': ('#', ';'), '_inline_comment_prefixes': (), '_strict': True, '_allow_no_value': False, '_empty_lines_in_values': True, 'default_section': 'DEFAULT', '_interpolation': <configparser.BasicInterpolation object at 0x7f3610c92ba0>, '_wandb': {}}
2025-06-27 18:02:19,933 INFO    MainThread:2204506 [wandb_init.py:init():893] starting backend
2025-06-27 18:02:19,933 INFO    MainThread:2204506 [wandb_init.py:init():897] sending inform_init request
2025-06-27 18:02:19,941 INFO    MainThread:2204506 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: fork
2025-06-27 18:02:19,941 INFO    MainThread:2204506 [wandb_init.py:init():907] backend started and connected
2025-06-27 18:02:19,944 INFO    MainThread:2204506 [wandb_init.py:init():1005] updated telemetry
2025-06-27 18:02:19,951 INFO    MainThread:2204506 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-06-27 18:02:21,747 INFO    MainThread:2204506 [wandb_init.py:init():1104] starting run threads in backend
2025-06-27 18:02:21,933 INFO    MainThread:2204506 [wandb_run.py:_console_start():2573] atexit reg
2025-06-27 18:02:21,934 INFO    MainThread:2204506 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-06-27 18:02:21,934 INFO    MainThread:2204506 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-06-27 18:02:21,934 INFO    MainThread:2204506 [wandb_run.py:_redirect():2513] Redirects installed.
2025-06-27 18:02:21,936 INFO    MainThread:2204506 [wandb_init.py:init():1150] run started, returning control to user process
